description,number,class
Trinitronaphthalene,0217,1
Trinitrophenetole,0218,1
"Trinitroresorcinol or Styphnic acid, dry or wetted with less than 20 percent water, or mixture of alcohol and water, by mass",0219,1
"Urea nitrate, dry or wetted with less than 20 percent water, by mass",0220,1
"Warheads, torpedo with bursting charge",0221,1
"Ammonium nitrate, with more than 0.2 percent combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance",0222,1
"Ammoniumnitrat-Düngemittel mit einer größeren Sensibilität als Ammoniumnitrat mit 0,2 % brennbaren Stoffen, einschließlich jedes als Kohlenstoff berechneten organischen Stoffes, unter Ausschluss jedes anderen zugesetzten Stoffes",0223,1
"Barium azide, dry or wetted with less than 50 percent water, by mass",0224,1
Boosters with detonator,0225,1
"Cyclotetramethylenetetranitramine, wetted or HMX, wetted or Octogen, wetted with not less than 15 percent water, by mass",0226,1
"Sodium dinitro-o-cresolate, dry or wetted with less than 15 percent water, by mass",0234,4.1
"Sodium picramate, dry or wetted with less than 20 percent water, by mass",0235,1
"Zirconium picramate, dry or wetted less than 20 percent water, by mass",0236,1
"Charges, shaped, flexible, linear",0237,1
"Rockets, line-throwing",0238,1
"Rockets, line-throwing",0239,1
"Rockets, line-throwing",0240,1
"Explosive, blasting, type E",0241,1
"Charges, propelling, for cannon",0242,1
"Ammunition, incendiary, white phosphorus, with burster, expelling charge, or propelling charge",0243,1
"Ammunition, incendiary, white phosphorus, with burster, expelling charge, or propelling charge",0244,1
"Ammunition smoke, white phosphorus with burster, expelling charge, or propelling charge",0245,1
"Ammunition smoke, white phosphorus with burster, expelling charge, or propelling charge",0246,1
"Ammunition, incendiary liquid or gel, with burster, expelling charge, or propelling charge",0247,1
"Contrivances, water-activated, with burster, expelling charge, or propelling charge",0248,1
"Contrivances, water-activated, with burster, expelling charge, or propelling charge",0249,1
Rocket motors with hypergolic liquids with or without an expelling charge,0250,1
"Ammunition, illuminating with or without burster, expelling charge, or propelling charge",0254,1
"Detonators, electric, for blasting",0255,1
"Fuzes, detonating",0257,1
"Octolite or Octol, dry or wetted with less than 15 percent water, by mass",0266,1
"Detonators, non-electric, for blasting",0267,1
Boosters with detonator,0268,1
"Charges, propelling",0271,1
"Charges, propelling",0272,1
"Cartridges, power device",0275,1
"Cartridges, power device",0276,1
"Cartridges, oil well",0277,1
"Cartridges, oil well",0278,1
"Charges, propelling, for cannon",0279,1
Rocket motors,0280,1
Rocket motors,0281,1
"Nitroguanidine or Picrite, dry or wetted with less than 20 percent water, by mass",0282,1
"Boosters, without detonator",0283,1
"Grenades, hand or rifle, with bursting charge",0284,1
"Grenades, hand or rifle, with bursting charge",0285,1
"Warheads, rocket with bursting charge",0286,1
"Warheads, rocket with bursting charge",0287,1
"Charges, shaped, flexible, linear",0288,1
"Cord, detonating, flexible",0289,1
"Cord, detonating or Fuse, detonating metal clad",0290,1
"Bombs, with bursting charge",0291,1
"Grenades, hand or rifle, with bursting charge",0292,1
"Grenades, hand or rifle, with bursting charge",0293,1
Mines with bursting charge,0294,1
"Rockets, with bursting charge",0295,1
"Sounding devices, explosive",0296,1
"Ammunition, illuminating with or without burster, expelling charge, or propelling charge",0297,1
"Bombs, photo-flash",0299,1
"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",0300,1
"Ammunition, tear-producing with burster, expelling charge, or propelling charge",0301,1
"Ammunition, smoke, with or without burster, expelling charge, or propelling charge",0303,1
Flash powder,0305,1
Tracers for ammunition,0306,1
"Cartridges, signal",0312,1
"Signals, smoke",0313,1
Igniters,0314,1
Igniters,0315,1
"Fuzes, igniting",0316,1
"Fuzes, igniting",0317,1
"Grenades, practice, hand or rifle",0318,1
"Primers, tubular",0319,1
"Primers, tubular",0320,1
"Cartridges for weapons, with bursting charge",0321,1
Rocket motors with hypergolic liquids with or without an expelling charge,0322,1
"Cartridges, power device",0323,1
"Projectiles, with bursting charge",0324,1
Igniters,0325,1
"Cartridges for weapons, blank",0326,1
"Cartridges for weapons, blank or Cartridges, small arms, blank",0327,1
"Cartridges for weapons, inert projectile",0328,1
Torpedoes with bursting charge,0329,1
Torpedoes with bursting charge,0330,1
"Explosive, blasting, type B or Agent blasting, Type B",0331,1
"Explosive, blasting, type E or Agent blasting, Type E",0332,1
Fireworks (1.1G),0333,1
Fireworks (1.2G),0334,1
Fireworks (1.3G),0335,1
Fireworks (1.4G),0336,1
Fireworks (1.4S),0337,1
"Cartridges for weapons, blank or Cartridges, small arms, blank",0338,1
"Cartridges for weapons, inert projectile or Cartridges, small arms",0339,1
"Nitrocellulose, dry or wetted with less than 25 percent water (or alcohol), by mass",0340,1
"Nitrocellulose, unmodified or plasticized with less than 18 percent plasticizing substance, by mass",0341,1
"Nitrocellulose, wetted with not less than 25 percent alcohol, by mass",0342,1
"Nitrocellulose, plasticized with not less than 18 percent plasticizing substance, by mass",0343,1
"Projectiles, with bursting charge",0344,1
"Projectiles, inert with tracer",0345,1
"Projectiles, with burster or expelling charge",0346,1
"Projectiles, with burster or expelling charge",0347,1
"Cartridges for weapons, with bursting charge",0348,1
"Articles, explosive, n.o.s.",0349,1
"Articles, explosive, n.o.s.",0350,1
"Articles, explosive, n.o.s.",0351,1
"Articles, explosive, n.o.s.",0352,1
"Articles, explosive, n.o.s.",0353,1
"Articles, explosive, n.o.s.",0354,1
"Articles, explosive, n.o.s.",0355,1
"Articles, explosive, n.o.s.",0356,1
"Substances, explosive, n.o.s.",0357,1
"Substances, explosive, n.o.s.",0358,1
"Substances, explosive, n.o.s.",0359,1
"Detonator assemblies, non-electric for blasting",0360,1
"Detonator assemblies, non-electric for blasting",0361,1
"Ammunition, practice",0362,1
"Ammunition, proof",0363,1
Detonators for ammunition,0364,1
Detonators for ammunition,0365,1
Detonators for ammunition,0366,1
"Fuzes, detonating",0367,1
"Fuzes, igniting",0368,1
"Warheads, rocket with bursting charge",0369,1
"Warheads, rocket with burster or expelling charge",0370,1
"Warheads, rocket with burster or expelling charge",0371,1
"Grenades, practice, hand or rifle",0372,1
"Signal devices, hand",0373,1
"Sounding devices, explosive",0374,1
"Sounding devices, explosive",0375,1
"Primers, tubular",0376,1
"Primers, cap type",0377,1
"Primers, cap type",0378,1
"Cases, cartridges, empty with primer",0379,1
"Articles, pyrophoric",0380,1
"Cartridges, power device",0381,1
"Components, explosive train, n.o.s.",0382,1
"Components, explosive train, n.o.s.",0383,1
"Components, explosive train, n.o.s.",0384,1
5-Nitrobenzotriazol,0385,1
Trinitrobenzenesulfonic acid,0386,1
Trinitrofluorenone,0387,1
Trinitrotoluene and Trinitrobenzene mixtures or TNT and trinitrobenzene mixtures or TNT and hexanitrostilbene mixtures or Trinitrotoluene and hexanitrostilbene mixtures,0388,1
Trinitrotoluene mixtures containing Trinitrobenzene and Hexanitrostilbene or TNT mixtures containing trinitrobenzene and hexanitrostilbene,0389,1
Tritonal,0390,1
"RDX and HMX mixtures, wetted with not less than 15 percent water by mass or RDX and HMX mixtures, desensitized with not less than 10 percent phlegmatizer by mass",0391,1
Hexanitrostilbene,0392,1
Hexotonal,0393,1
"Trinitroresorcinol, wetted or Styphnic acid, wetted with not less than 20 percent water, or mixture of alcohol and water, by mass",0394,1
"Rocket motors, liquid fueled",0395,1
"Rocket motors, liquid fueled",0396,1
"Rockets, liquid fueled with bursting charge",0397,1
"Rockets, liquid fueled with bursting charge",0398,1
"Bombs with flammable liquid, with bursting charge",0399,1
"Bombs with flammable liquid, with bursting charge",0400,1
"Dipicryl sulfide, dry or wetted with less than 10 percent water, by mass",0401,1
Ammonium perchlorate,0402,1
"Flares, aerial",0403,1
"Flares, aerial",0404,1
"Cartridges, signal",0405,1
Dinitrosobenzene,0406,1
Tetrazol-1-acetic acid,0407,1
"Fuzes, detonating, with protective features",0408,1
"Fuzes, detonating, with protective features",0409,1
"Fuzes, detonating, with protective features",0410,1
"Pentaerythrite tetranitrate or Pentaerythritol tetranitrate or PETN, with not less than 7 percent wax by mass",0411,1
"Cartridges for weapons, with bursting charge",0412,1
"Cartridges for weapons, blank",0413,1
"Charges, propelling, for cannon",0414,1
"Charges, propelling",0415,1
"Cartridges for weapons, inert projectile or Cartridges, small arms",0417,1
"Flares, surface",0418,1
"Flares, surface",0419,1
"Flares, aerial",0420,1
"Flares, aerial",0421,1
"Projectiles, inert with tracer",0424,1
"Projectiles, inert with tracer",0425,1
"Projectiles, with burster or expelling charge",0426,1
"Projectiles, with burster or expelling charge",0427,1
"Articles, pyrotechnic for technical purposes",0428,1
"Articles, pyrotechnic for technical purposes",0429,1
"Articles, pyrotechnic for technical purposes",0430,1
"Articles, pyrotechnic for technical purposes",0431,1
"Articles, pyrotechnic for technical purposes",0432,1
"Powder cake, wetted or Powder paste, wetted with not less than 17 percent alcohol by mass",0433,1
"Projectiles, with burster or expelling charge",0434,1
"Projectiles, with burster or expelling charge",0435,1
"Rockets, with expelling charge",0436,1
"Rockets, with expelling charge",0437,1
"Rockets, with expelling charge",0438,1
"Charges, shaped, without detonator",0439,1
"Charges, shaped, without detonator",0440,1
"Charges, shaped, without detonator",0441,1
"Charges, explosive, commercial without detonator",0442,1
"Charges, explosive, commercial without detonator",0443,1
"Charges, explosive, commercial without detonator",0444,1
"Charges, explosive, commercial without detonator",0445,1
"Cases, combustible, empty, without primer",0446,1
"Cases, combustible, empty, without primer",0447,1
5-Mercaptotetrazol-1-acetic acid,0448,1
"Torpedoes, liquid fueled, with or without bursting charge",0449,1
"Torpedoes, liquid fueled, with inert head",0450,1
Torpedoes with bursting charge,0451,1
"Grenades, practice, hand or rifle",0452,1
"Rockets, line-throwing",0453,1
Igniters,0454,1
"Detonators, non-electric, for blasting",0455,1
"Detonators, electric, for blasting",0456,1
"Charges, bursting, plastics bonded",0457,1
"Charges, bursting, plastics bonded",0458,1
"Charges, bursting, plastics bonded",0459,1
"Charges, bursting, plastics bonded",0460,1
"Components, explosive train, n.o.s.",0461,1
"Articles, explosive, n.o.s.",0462,1
"Articles, explosive, n.o.s.",0463,1
"Articles, explosive, n.o.s.",0464,1
"Articles, explosive, n.o.s.",0465,1
"Articles, explosive, n.o.s.",0466,1
"Articles, explosive, n.o.s.",0467,1
"Articles, explosive, n.o.s.",0468,1
"Articles, explosive, n.o.s.",0469,1
"Articles, explosive, n.o.s.",0470,1
"Articles, explosive, n.o.s.",0471,1
"Articles, explosive, n.o.s.",0472,1
"Substances, explosive, n.o.s.",0473,1
"Substances, explosive, n.o.s.",0474,1
"Substances, explosive, n.o.s.",0475,1
"Substances, explosive, n.o.s.",0476,1
"Substances, explosive, n.o.s.",0477,1
"Substances, explosive, n.o.s.",0478,1
"Substances, explosive, n.o.s.",0479,1
"Substances, explosive, n.o.s.",0480,1
"Substances, explosive, n.o.s.",0481,1
"Substances, explosive, very insensitive, n.o.s., or Substances, EVI, n.o.s.",0482,1
"Cyclotrimethylenetrinitramine, desensitized or Cyclonite, desensitized or Hexogen, desensitized or RDX, desensitized",0483,1
"Cyclotetramethylenetetranitramine, desensitized or Octogen, desensitized or HMX, desensitized",0484,1
"Substances, explosive, n.o.s.",0485,1
"Articles, explosive, extremely insensitive or Articles, EEI",0486,1
"Signals, smoke",0487,1
"Ammunition, practice",0488,1
Dinitroglycoluril or Dingu,0489,1
Nitrotriazolone or NTO,0490,1
"Charges, propelling",0491,1
"Signals, railway track, explosive",0492,1
"Signals, railway track, explosive",0493,1
"Jet, perforating guns, charged oil well, with detonator",0494,1
"Propellant, liquid",0495,1
Octonal,0496,1
"Propellant, liquid",0497,1
"Propellant, solid",0498,1
"Propellant, solid",0499,1
"Detonator assemblies, non-electric for blasting",0500,1
"Acetylene, dissolved",1001,2
"Air, compressed",1002,2
"Air, refrigerated liquid, (cryogenic liquid) or Air, refrigerated liquid (cryogenic liquid) non-pressurized",1003,2
"Ammonia, anhydrous",1005,2
"Argon, compressed",1006,2
"Boron trifluoride, compressed",1008,2
"Bromotrifluoromethane or Refrigerant gas, R 13B1",1009,2
"Butadienes, inhibited",1010,2
"Butane see also Petroleum gases, liquefied",1011,2
"Butylene see also Petroleum gases, liquefied",1012,2
Carbon dioxide,1013,2
"Carbon dioxide and oxygen mixtures, compressed",1014,2
Carbon dioxide and nitrous oxide mixtures,1015,2
"Carbon monoxide, compressed",1016,2
Chlorine,1017,2
Chlorodifluoromethane or Refrigerant gas R 22,1018,2
Chloropentafluoroethane or Refrigerant gas R 115,1020,2
"1-Chloro-1,2,2,2-tetrafluoroethane or Refrigerant gas R 124",1021,2
Chlorotrifluoromethane or Refrigerant gas R 13,1022,2
"Coal gas, compressed",1023,2
Cyanogen,1026,2
Cyclopropane,1027,2
Dichlorodifluoromethane or Refrigerant gas R 12,1028,2
Dichlorofluoromethane or Refrigerant gas R 21,1029,2
"1,1-Difluoroethane or Refrigerant gas R 152a",1030,2
"Dimethylamine, anhydrous",1032,2
Dimethyl ether,1033,2
Ethane,1035,2
Ethylamine,1036,2
Ethyl chloride,1037,2
"Ethylene, refrigerated liquid (cryogenic liquid)",1038,2
Ethyl methyl ether,1039,2
Ethylene oxide or Ethylene oxide with nitrogen up to a total pressure of 1MPa (10 bar) at 50° C,1040,2
Ethylene oxide and carbon dioxide mixtures with more than 9 percent but not more than 87 percent ethylene oxide,1041,2
Fertilizer ammoniating solution with free ammonia,1043,2
Fire extinguishers containing compressed or liquefied gas,1044,2
"Fluorine, compressed",1045,2
"Helium, compressed",1046,2
"Hydrogen bromide, anhydrous",1048,2
"Hydrogen, compressed",1049,2
"Hydrogen chloride, anhydrous",1050,2
"Hydrogen cyanide, stabilized with less than 3 percent water",1051,6.1
"Hydrogen fluoride, anhydrous",1052,8
Hydrogen sulfide,1053,2
"Isobutylene see also Petroleum gases, liquefied",1055,2
"Krypton, compressed",1056,2
"Lighters or Lighter refills cigarettes, containing flammable gas",1057,2
"Liquified gases, nonflammable charged with nitrogen, carbon dioxide, or air",1058,2
"Methyl acetylene and propadiene mixtures, stabilized",1060,2
"Methylamine, anhydrous",1061,2
Methyl bromide,1062,2
"Methyl chloride, or Refrigerant gas R 40",1063,2
Methyl mercaptan,1064,2
"Neon, compressed",1065,2
"Nitrogen, compressed",1066,2
Dinitrogen tetroxide,1067,2
Nitrosyl chloride,1069,2
Nitrous oxide,1070,2
"Oil gas, compressed",1071,2
"Oxygen, compressed",1072,2
"Oxygen, refrigerated liquid (cryogenic liquid)",1073,2
"Petroleum gases, liquefied or Liquefied petroleum gas",1075,2
Phosgene,1076,2
"Propylene see also Petroleum gases, liquefied",1077,2
"Refrigerant gases, n.o.s.",1078,2
Sulfur dioxide,1079,2
Sulfur hexafluoride,1080,2
"Tetrafluoroethylene, inhibited",1081,2
"Trifluorochloroethylene, inhibited",1082,2
"Trimethylamine, anhydrous",1083,2
"Vinyl bromide, inhibited",1085,2
"Vinyl chloride, inhibited or Vinyl chloride, stabilized",1086,2
"Vinyl methyl ether, inhibited",1087,2
Acetal,1088,3
Acetaldehyde,1089,3
Acetone,1090,3
Acetone oils,1091,3
"Acrolein, inhibited",1092,6.1
"Acrylonitrile, inhibited",1093,3
Allyl alcohol,1098,6.1
Allyl bromide,1099,
Allyl chloride,1100,3
Amyl acetates,1104,3
Pentanols,1105,3
Amylamines,1106,3
Amyl chlorides,1107,3
1-Pentene (n-amylene),1108,3
Amyl formates,1109,3
n-Amyl methyl ketone,1110,3
Amyl mercaptans,1111,3
Amyl nitrate,1112,3
Amyl nitrites,1113,3
Benzene,1114,3
Butanols,1120,2
Butyl acetates,1123,3
n-Butylamine,1125,3
1-Bromobutane,1126,3
Chlorobutanes,1127,3
n-Butyl formate,1128,3
Butyraldehyde,1129,3
Camphor oil,1130,3
Carbon disulfide,1131,3
"Adhesives, containing a flammable liquid",1133,3
Chlorobenzene,1134,3
Ethylene chlorohydrin,1135,6.1
"Coal tar distillates, flammable",1136,3
"Coating solution (includes surface treatments or coatings used for industrial or other purposes such as vehicle undercoating, drum or barrel lining)",1139,3
"Crotonaldehyde, stabilized",1143,6.1
Crotonylene,1144,3
Cyclohexane,1145,3
Cyclopentane,1146,3
Decahydronaphthalene,1147,3
Diacetone alcohol,1148,3
Dibutyl ethers,1149,3
"1,2-Dichloroethylene",1150,3
Dichloropentanes,1152,3
Ethylene glycol diethyl ether,1153,3
Diethylamine,1154,3
Diethyl ether or Ethyl ether,1155,3
Diethyl ketone,1156,3
Diisobutyl ketone,1157,3
Diisopropylamine,1158,3
Diisopropyl ether,1159,3
Dimethylamine solution,1160,3
Dimethyl carbonate,1161,3
Dimethyldichlorosilane,1162,3
"Dimethylhydrazine, unsymmetrical",1163,6.1
Dimethyl sulfide,1164,3
Dioxane,1165,3
Dioxolane,1166,3
"Divinyl ether, inhibited",1167,3
"Extracts, aromatic, liquid",1169,3
Ethanol (Ethyl alcohol) or Ethanol solution (Ethyl alcohol solution),1170,3
Ethylene glycol monoethyl ether,1171,3
Ethylene glycol monoethyl ether acetate,1172,3
Ethyl acetate,1173,3
Ethylbenzene,1175,3
Ethyl borate,1176,3
2-Ethylbutyl acetate,1177,3
2-Ethylbutyraldehyde,1178,3
Ethyl butyl ether,1179,3
Ethyl butyrate,1180,3
Ethyl chloroacetate,1181,6.1
Ethyl chloroformate,1182,6.1
Ethyldichlorosilane,1183,4.3
Ethylene dichloride,1184,3
"Ethyleneimine, inhibited",1185,6.1
Ethylene glycol monomethyl ether,1188,3
Ethylene glycol monomethyl ether acetate,1189,3
Ethyl formate,1190,3
Octyl aldehydes,1191,3
Ethyl lactate,1192,3
Ethyl methyl ketone or Methyl ethyl ketone,1193,3
Ethyl nitrate solutions,1194,3
Ethyl propionate,1195,3
Ethyltrichlorosilane,1196,3
"Extracts, flavoring, liquid",1197,3
"Formaldehyde, solutions, flammable",1198,3
Furaldehydes,1199,6.1
Fusel oil,1201,3
"Gas oil or diesel fuel or heating oil, light",1202,3
Gasoline or petrol or motor spirit,1203,3
"Nitroglycerin, solution in alcohol, with not more than 1 percent nitroglycerin",1204,3
Heptanes,1206,3
Hexaldehyde,1207,3
Hexanes,1208,3
"Printing ink, flammable",1210,3
Isobutanol or isobutyl alcohol,1212,3
Isobutyl acetate,1213,3
Isobutylamine,1214,3
Isooctenes,1216,3
"Isoprene, inhibited",1218,3
Isopropanol or isopropyl alcohol,1219,3
Isopropyl acetate,1220,3
Isopropylamine,1221,3
Isopropyl nitrate,1222,3
Kerosene,1223,3
"Ketones, liquid, n.o.s.",1224,3
"Mercaptans, liquid, flammable, toxic, n.o.s. or mercaptan mixtures, liquid, flammable, toxic, n.o.s.",1228,3
Mesityl oxide,1229,3
Methanol,1230,3
Methyl acetate,1231,3
Methylamyl acetate,1233,3
Methylal,1234,3
"Methylamine, aqueous solution",1235,3
Methyl butyrate,1237,3
Methyl chloroformate,1238,6.1
Methyl chloromethyl ether,1239,6.1
Methyldichlorosilane,1242,4.3
Methyl formate,1243,3
Methylhydrazine,1244,6.1
Methyl isobutyl ketone,1245,3
"Methyl isopropenyl ketone, inhibited",1246,3
"Methyl methacrylate monomer, inhibited",1247,3
Methyl propionate,1248,3
Methyl propyl ketone,1249,3
Methyltrichlorosilane,1250,3
"Methyl vinyl ketone, stabilized",1251,6.1
Nickel carbonyl,1259,6.1
Nitromethane,1261,3
Octanes,1262,3
"Paint-related materials including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base, or paint related material including paint thinning, drying, removing, or reducing compound",1263,3
Paraldehyde,1264,3
Pentanes,1265,3
Perfumery products with flammable solvents,1266,3
Petroleum crude oil,1267,3
"Petroleum distillates, n.o.s. or petroleum products, n.o.s.",1268,3
"(Formerly) petroleum fuel, generally used in Australia where mixed refined petroleum products are carried in the same tanker ie: petrol/diesel/kerosene/tolulene etc.",1270,-3
(Formerly) petroleum spirit,1271,-3
Pine oil,1272,3
"n-Propanol or propyl alcohol, normal",1274,3
Propionaldehyde,1275,3
n-Propyl acetate,1276,3
Propylamine,1277,3
Propyl chloride,1278,3
"1,2-Dichloropropane",1279,3
Propylene oxide,1280,3
Propyl formates,1281,3
Pyridine,1282,3
Rosin oil,1286,3
Rubber solution,1287,3
Shale oil,1288,3
Sodium methylate solutions in alcohol,1289,3
Tetraethyl silicate,1292,3
"Tinctures, medicinal",1293,3
Toluene,1294,3
Trichlorosilane,1295,4.3
Triethylamine,1296,3
"Trimethylamine, aqueous solutions with not more than 50 percent trimethylamine by mass",1297,3
Trimethylchlorosilane,1298,3
Turpentine,1299,3
Turpentine substitute or mineral turpentine (Australia),1300,3
"Vinyl acetate, inhibited",1301,3
"Vinyl ethyl ether, inhibited",1302,3
"Vinylidene chloride, inhibited",1303,3
"Vinyl isobutyl ether, inhibited",1304,3
"Vinyltrichlorosilane, inhibited",1305,3
"Wood preservatives, liquid",1306,3
Xylenes,1307,3
Zirconium suspended in a liquid,1308,3
"Aluminium powder, coated",1309,4.1
"Ammonium picrate, wetted with not less than 10 percent water, by mass",1310,4.1
Borneol,1312,4.1
Calcium resinate,1313,4.1
"Calcium resinate, fused",1314,4.1
"Cobalt resinate, precipitated",1318,4.1
"Dinitrophenol, wetted with not less than 15 percent water, by mass",1320,4.1
"Dinitrophenolates, wetted with not less than 15 percent water, by mass",1321,4.1
"Dinitroresorcinol, wetted with not less than 15 percent water, by mass",1322,4.1
Ferrocerium,1323,4.1
"Films, nitrocellulose base, gelatine coated (except scrap)",1324,4.1
"Flammable solids, organic, n.o.s.",1325,4.1
"Hafnium powder, wetted with not less than 25% water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 micrometres; (b) chemically produced, particle size less than 840 micrometres",1326,4.1
"Hay, Straw or Bhusa, wet, damp or contaminated with oil",1327,4.1
Hexamethylenetetramine,1328,4.1
Manganese resinate,1330,4.1
